physical_html	title	p_count	note_node_count	table_count	main_chars	note_chars	table_chars	total_chars	replacement_char_count	parse_error
001.htm	卷一上・帝紀第一上 光武皇帝	144	267	0	7984	9608	0	17592	0	
001b.htm	卷一下・帝紀第一下 光武皇帝	246	199	0	8665	6325	0	14990	0	
002.htm	卷二・帝紀第二 顯宗孝明帝	104	159	0	6464	7243	0	13707	0	
003.htm	卷三・帝紀第三 肅宗孝章皇帝	117	174	0	7616	5776	0	13392	0	
004.htm	卷四・帝紀第四 孝和 孝殤皇帝	207	150	0	7699	4866	0	12565	0	
005.htm	卷五・帝紀第五 孝安皇帝	316	168	0	8831	4528	0	13359	0	
006.htm	卷六・帝紀第六 孝順 孝沖 孝質皇帝	266	105	0	8228	3462	0	11690	0	
007.htm	卷七・帝紀第七 孝桓皇帝	25	136	0	7024	3631	0	10655	0	
008.htm	卷八・帝紀第八 孝靈皇帝	28	113	0	6202	3525	0	9727	0	
009.htm	卷九・帝紀第九 孝獻帝	38	87	0	4657	3803	0	8460	0	
010a.htm	卷十上・皇后紀第十上	55	189	0	10322	5878	0	16200	0	
010b.htm	卷十下・皇后紀第十下	85	148	0	7239	4201	0	11440	0	
011.htm	卷十一・列傳第一	39	89	0	6878	2446	0	9324	0	
012.htm	卷十二・列傳第二	39	90	0	6343	1356	0	7699	0	
013.htm	卷十三・隗囂公孫述列傳第三	49	201	0	8924	5626	0	14550	0	
014.htm	卷十四・宗室四王三侯列傳第四	52	93	0	5942	2620	0	8562	0	
015.htm	卷十五・列傳第五	38	106	0	6556	2565	0	9121	0	
016.htm	卷十六・列傳第六	72	169	0	10927	4406	0	15333	0	
017.htm	卷十七・列傳第七	52	160	0	9314	4425	0	13739	0	
018.htm	卷十八・列傳第八	46	126	0	7206	3700	0	10906	0	
019.htm	卷十九・列傳第九	46	96	0	7844	2635	0	10479	0	
020.htm	卷二十・列傳第十	33	76	0	5668	1930	0	7598	0	
021.htm	卷二十一・列傳第十一	37	68	0	4968	1738	0	6706	0	
022.htm	卷二十二・列傳第十二	49	108	0	6505	2736	0	9241	0	
023.htm	卷二十三・列傳第十三	43	169	0	8399	3895	0	12294	0	
024.htm	卷二十四・列傳第十四	60	213	0	10538	5792	0	16330	0	
025.htm	卷二十五・列傳第十五	47	108	0	5904	2657	0	8561	0	
026.htm	卷二十六・列傳第十六	75	128	0	9538	3210	0	12748	0	
027.htm	卷二十七・列傳第十七	52	121	0	6079	4807	0	10886	0	
028a.htm	卷二十八上・列傳第十八上	37	131	0	5709	6071	0	11780	0	
028b.htm	卷二十八下・列傳第十八下	20	103	0	3605	10082	0	13687	0	
029.htm	卷二十九・列傳第十九	39	129	0	6758	4584	0	11342	0	
030a.htm	卷三十上・列傳第二十上	16	55	0	2418	1698	0	4116	0	
030b.htm	卷三十下・列傳第二十下	53	182	0	8465	7416	0	15881	0	
031.htm	卷三十一・列傳第二十一	57	93	0	8209	2127	0	10336	0	
032.htm	卷三十二・列傳第二十二	36	59	0	4947	1556	0	6503	0	
033.htm	卷三十三・列傳第二十三	38	117	0	6447	3619	0	10066	0	
034.htm	卷三十四・列傳第二十四	49	117	0	7145	3501	0	10646	0	
035.htm	卷三十五・列傳第二十五	31	110	0	6379	3534	0	9913	0	
036.htm	卷三十六・列傳第二十六	58	135	0	8444	4165	0	12609	0	
037.htm	卷三十七・列傳第二十七	48	88	0	5678	3930	0	9608	0	
038.htm	卷三十八・列傳第二十八	30	56	0	4964	1742	0	6706	0	
039.htm	卷三十九・列傳第二十九	48	124	0	7606	3932	0	11538	0	
040.htm	卷四十上・列傳第三十上	29	154	0	6019	10373	0	16392	0	
040b.htm	卷四十下・列傳第三十下	28	150	0	4966	12003	0	16969	0	
041.htm	卷四十一・列傳第三十一	44	109	0	8360	2815	0	11175	0	
042.htm	卷四十二・列傳第三十二	83	122	0	9664	3603	0	13267	0	
043.htm	卷四十三・列傳第三十三	41	162	0	8365	7674	0	16039	0	
044.htm	卷四十四・列傳第三十四	34	93	0	4739	3717	0	8456	0	
045.htm	卷四十五・列傳第三十五	51	98	0	7449	2744	0	10193	0	
046.htm	卷四十六・列傳第三十六	36	136	0	7072	4503	0	11575	0	
047.htm	卷四十七・列傳第三十七	42	79	0	8634	2823	0	11457	0	
048.htm	卷四十八・列傳第三十八	49	100	0	7408	5547	0	12955	0	
049.htm	卷四十九・列傳第三十九	53	153	0	10358	5840	0	16198	0	
050.htm	卷五十・列傳第四十	41	45	0	3563	1990	0	5553	0	
051.htm	卷五十一・列傳第四十一	33	63	0	5256	1729	0	6985	0	
052.htm	卷五十二・列傳第四十二	42	188	0	6811	7781	0	14592	0	
053.htm	卷五十三・列傳第四十三	35	96	0	3952	2697	0	6649	0	
054.htm	卷五十四・列傳第四十四	44	196	0	9065	6866	0	15931	0	
055.htm	卷五十五・列傳第四十五	46	50	0	4890	965	0	5855	0	
056.htm	卷五十六・列傳第四十六	41	79	0	6876	3150	0	10026	0	
057.htm	卷五十七・列傳第四十七	48	93	0	6944	3435	0	10379	0	
058.htm	卷五十八・列傳第四十八	46	121	0	8963	4567	0	13530	0	
059.htm	卷五十九・列傳第四十九	34	306	0	7256	16798	0	24054	0	
060a.htm	卷六十上・列傳第五十上	19	107	0	3827	8019	0	11846	0	
060b.htm	卷六十下・列傳第五十下	35	146	0	8220	6945	0	15165	0	
061.htm	卷六十一・列傳第五十一	42	110	0	10463	3924	0	14387	0	
062.htm	卷六十二・列傳第五十二	51	86	0	6707	2324	0	9031	0	
063.htm	卷六十三・列傳第五十三	36	115	0	7043	4077	0	11120	0	
064.htm	卷六十四・列傳第五十四	40	154	0	6902	5226	0	12128	0	
065.htm	卷六十五・列傳第五十五	56	108	0	9095	2778	0	11873	0	
066.htm	卷六十六・列傳第五十六	39	87	0	7162	2498	0	9660	0	
067.htm	卷六十七・黨錮列傳第五十七	77	145	0	10260	5297	0	15557	0	
068.htm	卷六十八・列傳第五十八	32	51	0	2935	1918	0	4853	0	
069.htm	卷六十九・列傳第五十九	34	46	0	5742	1051	0	6793	0	
070.htm	卷七十・列傳第六十	44	231	0	8624	9026	0	17650	0	
071.htm	卷七十一・列傳第六十一	32	56	0	6100	1686	0	7786	0	
072.htm	卷七十二・列傳第六十二	39	139	0	8041	5623	0	13664	0	
073.htm	卷七十三・列傳第六十三	31	69	0	5555	1687	0	7242	0	
074.htm	卷七十四上・列傳第六十四上	42	142	0	8706	7247	0	15953	0	
074b.htm	卷七十四下・列傳第六十四下	30	70	0	5168	3544	0	8712	0	
075.htm	卷七十五・列傳第六十五	41	86	0	7159	3071	0	10230	0	
076.htm	卷七十六・循吏列傳第六十六	69	109	0	7945	3617	0	11562	0	
077.htm	卷七十七・酷吏列傳第六十七	38	77	0	5081	2063	0	7144	0	
078.htm	卷七十八・宦者列傳第六十八	74	136	0	10566	3481	0	14047	0	
079.htm	卷七十九上・儒林列傳第六十九上	59	72	0	6675	2535	0	9210	0	
079b.htm	卷七十九下・儒林列傳第六十九下	69	70	0	6531	2853	0	9384	0	
080.htm	卷八十上・文苑列傳第七十上	59	199	0	5923	6636	0	12559	0	
080b.htm	卷八十下・文苑列傳第七十下	56	199	0	7366	6892	0	14258	0	
081.htm	卷八十一・獨行列傳第七十一	93	90	0	11312	2158	0	13470	0	
082.htm	卷八十二上・方術列傳第七十二上	52	99	0	6423	3702	0	10125	0	
082b.htm	卷八十二下・方術列傳第七十二下	62	56	0	6951	3276	0	10227	0	
083.htm	卷八十三・逸民列傳第七十三	52	97	0	6401	3128	0	9529	0	
084.htm	卷八十四・列女傳第七十四	44	73	0	7915	1740	0	9655	0	
085.htm	卷八十五・東夷列傳第七十五	34	58	0	5891	1757	0	7648	0	
086.htm	卷八十六・南蠻西南夷列傳第七十六	57	162	0	10811	4914	0	15725	0	
087.htm	卷八十七・西羌傳第七十七	50	126	0	13342	2337	0	15679	0	
088.htm	卷八十八・西域傳第七十八	68	60	0	9533	2323	0	11856	0	
089.htm	卷八十九・南匈奴列傳第七十九	70	141	0	10856	4335	0	15191	0	
090.htm	卷九十・列傳第八十	37	49	0	6167	1189	0	7356	0	
091.htm	志第一・律曆上	68	20	0	5370	1825	0	7195	0	
092.htm	志第二・律曆中	20	8	0	8935	1846	0	10781	0	
093.htm	志第三・律曆下	88	37	2	8592	4190	1567	14349	0	
094.htm	志第四・禮儀上	15	31	0	1394	4912	0	6306	0	
095.htm	志第五・禮儀中	20	34	0	2406	6861	0	9267	0	
