logical	search_key	count
卷1	后汉书卷一	4
卷2	后汉书卷二	24
卷3	后汉书卷三	24
卷4	后汉书卷四	22
卷5	后汉书卷五	22
卷6	后汉书卷六	24
卷7	后汉书卷七	26
卷8	后汉书卷八	26
卷9	后汉书卷九	4
卷10	后汉书卷十	22
卷11	后汉书卷十一	2
卷12	后汉书卷十二	2
卷13	后汉书卷十三	2
卷14	后汉书卷十四	2
卷15	后汉书卷十五	2
卷16	后汉书卷十六	2
卷17	后汉书卷十七	2
卷18	后汉书卷十八	2
卷19	后汉书卷十九	2
卷20	后汉书卷二十	22
卷21	后汉书卷二十一	2
卷22	后汉书卷二十二	2
卷23	后汉书卷二十三	2
卷24	后汉书卷二十四	2
卷25	后汉书卷二十五	2
卷26	后汉书卷二十六	2
卷27	后汉书卷二十七	2
卷28	后汉书卷二十八	4
卷29	后汉书卷二十九	2
卷30	后汉书卷三十	22
卷31	后汉书卷三十一	2
卷32	后汉书卷三十二	2
卷33	后汉书卷三十三	2
卷34	后汉书卷三十四	2
卷35	后汉书卷三十五	2
卷36	后汉书卷三十六	2
卷37	后汉书卷三十七	2
卷38	后汉书卷三十八	2
卷39	后汉书卷三十九	2
卷40	后汉书卷四十	20
卷41	后汉书卷四十一	2
卷42	后汉书卷四十二	2
卷43	后汉书卷四十三	2
卷44	后汉书卷四十四	2
卷45	后汉书卷四十五	2
卷46	后汉书卷四十六	0
卷47	后汉书卷四十七	2
卷48	后汉书卷四十八	2
卷49	后汉书卷四十九	2
卷50	后汉书卷五十	20
卷51	后汉书卷五十一	2
卷52	后汉书卷五十二	2
卷53	后汉书卷五十三	2
卷54	后汉书卷五十四	2
卷55	后汉书卷五十五	2
卷56	后汉书卷五十六	2
卷57	后汉书卷五十七	2
卷58	后汉书卷五十八	2
卷59	后汉书卷五十九	2
卷60	后汉书卷六十	22
卷61	后汉书卷六十一	2
卷62	后汉书卷六十二	2
卷63	后汉书卷六十三	2
卷64	后汉书卷六十四	2
卷65	后汉书卷六十五	2
卷66	后汉书卷六十六	2
卷67	后汉书卷六十七	2
卷68	后汉书卷六十八	2
卷69	后汉书卷六十九	2
卷70	后汉书卷七十	24
卷71	后汉书卷七十一	2
卷72	后汉书卷七十二	2
卷73	后汉书卷七十三	2
卷74	后汉书卷七十四	4
卷75	后汉书卷七十五	2
卷76	后汉书卷七十六	2
卷77	后汉书卷七十七	2
卷78	后汉书卷七十八	2
卷79	后汉书卷七十九	4
卷80	后汉书卷八十	24
卷81	后汉书卷八十一	2
卷82	后汉书卷八十二	4
卷83	后汉书卷八十三	2
卷84	后汉书卷八十四	2
卷85	后汉书卷八十五	2
卷86	后汉书卷八十六	2
卷87	后汉书卷八十七	2
卷88	后汉书卷八十八	2
卷89	后汉书卷八十九	2
卷90	后汉书卷九十	2
志1	后汉书志第一	2
志2	后汉书志第二	22
志3	后汉书志第三	4
志4	后汉书志第四	2
志5	后汉书志第五	2
志6	后汉书志第六	2
志7	后汉书志第七	2
志8	后汉书志第八	2
志9	后汉书志第九	2
志10	后汉书志第十	20
志11	后汉书志第十一	2
志12	后汉书志第十二	2
志13	后汉书志第十三	2
志14	后汉书志第十四	2
志15	后汉书志第十五	2
志16	后汉书志第十六	2
志17	后汉书志第十七	2
志18	后汉书志第十八	2
志19	后汉书志第十九	2
志20	后汉书志第二十	20
志21	后汉书志第二十一	2
志22	后汉书志第二十二	2
志23	后汉书志第二十三	2
志24	后汉书志第二十四	2
志25	后汉书志第二十五	2
志26	后汉书志第二十六	2
志27	后汉书志第二十七	2
志28	后汉书志第二十八	2
志29	后汉书志第二十九	2
志30	后汉书志第三十	2
