kind	volume	status	normalized_anchor	primary_excerpt
MAIN	1	EXACT_40	凡一百三十七人丁巳降赵王良为赵公太原王章为齐公鲁王兴为鲁公庚午以殷绍嘉公孔安为宋	河閒王邵、中山王茂，皆襲爵爲王，不應經義。其以興爲臨湘侯，得爲真定侯，邵爲樂成侯，茂爲單父侯。」其宗室及絕國封侯者凡一百三十七人。丁巳，降趙王良爲趙公，太原王章爲齊公，魯王興爲魯公。庚午，以殷紹嘉公孔安爲宋公，周承休公姬常爲衞公。省并西京十三國：廣平屬鉅鹿，真定屬常山，河閒屬信都，城陽屬琅邪，泗水屬廣陵，淄川屬高密，膠
MAIN	5	EXACT_60	怨之所致其武吏以威暴下文吏妄行苛刻乡吏因公生奸为百姓所患苦者有司显明其罚又月令仲秋养衰老授几杖行糜粥方今案比之时郡县多不	水。詔曰：「今年秋稼茂好，垂可收穫，而連雨未霽，懼必淹傷。夕惕惟憂，思念厥咎。夫霖雨者，人怨之所致。其武吏以威暴下，文吏妄行苛刻，鄉吏因公生姦，爲百姓所患苦者，有司顯明其罰。又月令『仲秋養衰老，授几杖，行糜粥。』。方今案比之時，郡縣多不奉行。雖有糜粥，穅秕相半，長吏怠事，莫有躬親，甚違詔書養老之意。其務崇仁恕，賑護寡獨
MAIN	10	MISS	和平元年春归政于帝太后寝疾遂笃乃御辇幸宣德殿见宫省官属及诸梁兄弟诏曰朕素有心下结气从闲以来加以浮肿逆害饮食寖以沈困比使内外劳心请祷私自忖度日夜虚劣不能复与群公卿士共相终竟援立圣嗣恨不乆育养见其终始今以皇帝将军兄弟委付股肱其各自勉焉后二日而崩	和平元年春，歸政於帝，太后寢疾遂篤，乃御輦幸宣德殿，見宮省官屬及諸梁兄弟。詔曰：「朕素有心下結氣，從閒以來，加以浮腫，逆害飲食，寖以沈困，比使內外勞心請禱。私自忖度，日夜虛劣，不能復與羣公卿士共相終竟。援立聖嗣，恨不乆育養，見其終始。今以皇帝、將軍兄弟委付股肱，其各自勉焉。」後二日而崩。在位十九年，年四十五。合葬憲陵。
MAIN	15	EXACT_25	郸光武曰伟卿以一身从我不如以一郡为我北道主人乃遣晨	王尋、王邑。又別徇陽翟以東，至京、密，皆下之。更始北都洛陽，以晨爲常山太守。會王郎反，光武自薊走信都，晨亦間行會於鉅鹿下，自請從擊邯鄲。光武曰：「偉卿以一身從我，不如以一郡爲我北道主人。」乃遣晨歸郡。光武追銅馬、高胡羣賊於兾州，晨發積射士千人，又遣委輸給軍不絕。光武即位，封晨房子侯。帝又感悼姊沒於亂兵，追封謚元爲新野節
MAIN	20	EXACT_80	徒六千余人与杜茂治飞狐道堆石布土筑起亭障自代至平城三百余里凡与匈奴乌桓大小数十百战颇识边事数上书言宜与匈奴结和亲又陈委输可从温水漕以省陆转输之劳事皆施行后南单于	封向侯。是時，盧芳與匈奴、烏桓連兵，寇盜尤數，緣邊愁苦。詔霸將㢮刑徒六千餘人，與杜茂治飛狐道，堆石布土，築起亭障，自代至平城三百餘里。凡與匈奴、烏桓大小數十百戰，頗識邊事，數上書言宜與匈奴結和親，又陳委輸可從溫水漕，以省陸轉輸之勞，事皆施行。後南單于、烏桓降服，北邊無事。霸在上谷二十餘歲。三十年，定封淮陵侯。永平二年，
MAIN	25	EXACT_40	则苦雨数来五谷不熟又曰仲夏挺重囚益其食行秋令则草木零落人伤于疫夫断薄刑者谓其轻罪	。今始夏，百穀權輿，陽氣胎養之時。自三月以來，陰寒不暖，物當化變而不被和氣。月令：「孟夏斷薄刑，出輕繫。行秋令則苦雨數來，五穀不熟。」又曰：「仲夏挺重囚，益其食。行秋令則草木零落，人傷於疫。」夫斷薄刑者，謂其輕罪已正，不欲令乆繫，故時斷之也。臣愚以爲今孟夏之制，可從此令，其決獄案考，皆以立秋爲斷，以順時節，育成萬物，則
MAIN	30	EXACT_25	君遭困遇险能致命遂志不去其道陛下乃者潜龙养德幽隐屈	得失，厥善則昌，厥惡則亡。於易雄雌祕歷，今值困乏。凡九二困者，衆小人欲共困害君子也。經曰：「困而不失其所，其唯君子乎！」唯獨賢聖之君，遭困遇險，能致命遂志，不去其道。陛下乃者潛龍養德，幽隱屈戹，即位之元，紫宮驚動，歷運之會，時氣已應。然猶恐妖祥未盡，君子思患而豫防之。臣以爲戌仲已竟，來年入季，文帝改法，除肉刑之罪，至今
MAIN	35	MISS	露宵降嘉谷滋生赤草之类纪于史官朕夙夜祗畏上无以彰于先功下无以克称灵物汉遭秦余礼坏乐崩且因循故事未可观省有知其说者各尽所能襃省诏乃叹息谓诸生曰昔奚斯颂鲁考甫咏殷夫人臣依义显君竭忠彰主行之美也当仁不让吾何辞哉遂复上疏具陈礼乐之本制改之意拜襃侍中	露宵降，嘉穀滋生，赤草之類紀于史官。朕夙夜祗畏，上無以彰于先功，下無以克稱靈物。漢遭秦餘，禮壞樂崩，且因循故事，未可觀省，有知其說者，各盡所能。」襃省詔，乃歎息謂諸生曰：「昔奚斯頌魯，考甫詠殷。夫人臣依義顯君，竭忠彰主，行之美也。當仁不讓，吾何辭哉！」遂復上疏，具陳禮樂之本，制改之意。拜襃侍中，從駕南巡，旣還，以事下三
MAIN	40	MISS	曳豪罴超逈壑越峻崖蹷巉岩巨石𬯎松栢仆丛林摧草木无余禽兽殄夷于是天子乃登属玉之馆历长杨之榭览山川之体埶观三军之杀获原野萧条目极四裔禽相镇厌兽相枕藉然后收禽会众论功赐胙陈轻骑以行炰腾酒车而斟酌割鲜野食举燧命爵飨赐毕劳逸齐大辂鸣鸾容与裵回集乎豫章	曳豪羆，超逈壑，越峻崖，蹷巉巖，鉅石隤，松栢仆，叢林摧，草木無餘，禽獸殄夷。於是天子乃登屬玉之館，歷長楊之榭，覽山川之體埶，觀三軍之殺獲，原野蕭條，目極四裔，禽相鎮厭，獸相枕藉。然後收禽會衆，論功賜胙，陳輕騎以行炰，騰酒車而斟酌，割鮮野食，舉燧命爵。饗賜畢，勞逸齊，大輅鳴鸞，容與裵回，集乎豫章之宇，臨乎昆明之池。左牽牛
MAIN	45	EXACT_60	不宜远遁乃筑土室四周于庭不为户自牖纳饮食而已旦于室中东向拜母母思闳时往就视母去便自掩闭兄弟妻子莫得见也及母殁不为制服设位	爲驕奢，與亂世爭權，此即晉之三郤矣。」延熹末，黨事將作，閎遂散髮絕世，欲投迹深林。以母老不宜遠遁，乃築土室，四周於庭，不爲戶，自牖納飲食而已。旦於室中東向拜母。母思閎，時往就視，母去，便自掩閉，兄弟妻子莫得見也。及母歿，不爲制服設位，時莫能名，或以爲狂生。潛身十八年，黃巾賊起，攻沒郡縣，百姓驚散，閎誦經不移。賊相約語不
